split,unique_id,Painting,true_label,naive_bayes_pred,random_forest_pred,logistic_pred,ensemble_pred,ensemble_correct,vote_tie_resolved
train,1,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,2,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,3,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,4,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,6,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,7,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,8,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,9,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,13,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,14,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,15,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,18,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,19,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,21,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,22,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,23,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,24,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,26,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,29,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,30,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,31,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,32,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,33,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,34,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,35,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,38,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,39,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,40,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,41,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,42,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,43,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,47,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,48,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,49,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,50,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
train,51,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,The Persistence of Memory,True,False
