feature_set,selected_feature_count,hidden_dim,learning_rate,weight_decay,batch_size,epochs,patience,seed,best_epoch,train_accuracy,val_accuracy,test_accuracy
full,2722,128,0.001,0.0001,64,300,25,311,31,0.9499575911789653,0.8779761904761905,0.8888888888888888
full,2722,128,0.001,0.0001,64,50,10,311,16,0.9499575911789653,0.8779761904761905,0.8888888888888888
full,2722,64,0.001,0.0001,64,300,25,311,47,0.9720101781170484,0.8720238095238095,0.9005847953216374
full,2722,256,0.001,0.0001,64,300,25,311,39,0.9711620016963528,0.875,0.9064327485380117
full,2722,32,0.001,0.0001,64,300,25,311,53,0.9711620016963528,0.875,0.9064327485380117
full,2722,128,0.001,0.0001,64,300,25,311,31,0.9499575911789653,0.8779761904761905,0.8888888888888888
full,2722,128,0.01,0.0001,64,300,25,311,27,0.9296013570822731,0.8809523809523809,0.9005847953216374
full,2722,128,0.05,0.0001,64,300,25,311,44,0.9745547073791349,0.8898809523809523,0.8830409356725146
full,2722,128,0.1,0.0001,64,300,25,311,27,0.9270568278201866,0.8601190476190477,0.8654970760233918
full,2722,128,0.05,0.0005,64,300,25,311,27,0.9406276505513147,0.8720238095238095,0.8771929824561403
full,2722,128,0.05,0.001,64,300,25,311,27,0.9380831212892281,0.8690476190476191,0.8771929824561403
full,2722,128,0.05,1e-05,64,300,25,311,27,0.9406276505513147,0.875,0.8771929824561403
full,2722,128,0.05,0.0001,64,300,25,311,44,0.9745547073791349,0.8898809523809523,0.8830409356725146
full,2722,128,0.01,0.0001,64,300,25,311,27,0.9296013570822731,0.8809523809523809,0.9005847953216374
full,2722,32,0.01,0.0001,64,300,25,311,28,0.9541984732824428,0.8928571428571429,0.9064327485380117
full,2722,128,0.01,0.0001,64,300,25,311,27,0.9296013570822731,0.8809523809523809,0.9005847953216374
full,2722,128,0.01,0.0001,64,10,5,311,7,0.9296013570822731,0.8809523809523809,0.9005847953216374
full,2722,128,0.01,0.0001,64,300,25,311,27,0.9296013570822731,0.8809523809523809,0.9005847953216374
