unique_id,Painting
1,The Persistence of Memory
2,The Persistence of Memory
3,The Persistence of Memory
4,The Persistence of Memory
6,The Persistence of Memory
7,The Persistence of Memory
8,The Persistence of Memory
9,The Persistence of Memory
13,The Persistence of Memory
14,The Persistence of Memory
15,The Persistence of Memory
18,The Persistence of Memory
19,The Persistence of Memory
21,The Persistence of Memory
22,The Persistence of Memory
23,The Persistence of Memory
24,The Persistence of Memory
26,The Persistence of Memory
29,The Persistence of Memory
30,The Persistence of Memory
31,The Persistence of Memory
32,The Persistence of Memory
33,The Persistence of Memory
34,The Persistence of Memory
35,The Persistence of Memory
38,The Persistence of Memory
39,The Persistence of Memory
40,The Persistence of Memory
41,The Persistence of Memory
42,The Persistence of Memory
43,The Persistence of Memory
47,The Persistence of Memory
48,The Persistence of Memory
49,The Persistence of Memory
50,The Persistence of Memory
51,The Persistence of Memory
52,The Persistence of Memory
54,The Persistence of Memory
55,The Persistence of Memory
56,The Persistence of Memory
58,The Persistence of Memory
59,The Persistence of Memory
60,The Persistence of Memory
61,The Persistence of Memory
64,The Persistence of Memory
65,The Persistence of Memory
66,The Persistence of Memory
69,The Persistence of Memory
70,The Persistence of Memory
71,The Persistence of Memory
72,The Persistence of Memory
73,The Persistence of Memory
74,The Persistence of Memory
77,The Persistence of Memory
78,The Persistence of Memory
79,The Persistence of Memory
80,The Persistence of Memory
81,The Persistence of Memory
83,The Persistence of Memory
84,The Persistence of Memory
85,The Persistence of Memory
88,The Persistence of Memory
89,The Persistence of Memory
91,The Persistence of Memory
92,The Persistence of Memory
93,The Persistence of Memory
94,The Persistence of Memory
95,The Persistence of Memory
96,The Persistence of Memory
98,The Persistence of Memory
99,The Persistence of Memory
101,The Persistence of Memory
102,The Persistence of Memory
103,The Persistence of Memory
104,The Persistence of Memory
106,The Persistence of Memory
108,The Persistence of Memory
110,The Persistence of Memory
111,The Persistence of Memory
112,The Persistence of Memory
114,The Persistence of Memory
116,The Persistence of Memory
117,The Persistence of Memory
118,The Persistence of Memory
119,The Persistence of Memory
120,The Persistence of Memory
